URL,Number of Words,Number of Unique Words,Number of Stopwords,Number of Sentences,Number of Nouns,Average Word Length,Type-Token Ratio,Compound Sentiment Score,Number of Named Entities
https://www.webmd.com/mental-health/addiction/alcohol-poisoning-overview,1383,550,489,45,387,4.5972523499638465,0.39768618944323936,-0.9995,42
https://www.webmd.com/brain/leukodystrophy-types,548,272,194,20,146,5.114963503649635,0.49635036496350365,-0.3437,15
https://www.webmd.com/children/bartter-syndrome-facts,598,283,217,16,163,4.852842809364549,0.47324414715719065,0.956,21
https://www.webmd.com/brain/leukodystrophy-types,548,272,194,20,146,5.114963503649635,0.49635036496350365,-0.3437,15
https://www.webmd.com/brain/what-is-reflex-sympathetic-dystrophy-syndrome,955,403,344,34,254,4.5811518324607325,0.42198952879581153,-0.9959,43
https://www.webmd.com/brain/what-is-reflex-sympathetic-dystrophy-syndrome,955,403,344,34,254,4.5811518324607325,0.42198952879581153,-0.9959,43
https://www.webmd.com/allergies/insect-stings,1142,492,426,51,294,4.420315236427321,0.4308231173380035,-0.9896,23
https://www.webmd.com/allergies/allergy-shots,1347,490,522,41,373,4.482553823311061,0.3637713437268003,0.9923,24
https://www.webmd.com/allergies/latex-allergies,1207,500,431,33,365,4.850041425020713,0.4142502071251036,-0.9723,41
https://www.webmd.com/a-to-z-guides/understanding-encephalitis-basics,779,345,290,19,220,4.947368421052632,0.4428754813863928,-0.9592,17
https://www.webmd.com/skin-problems-and-treatments/guide/alopecia-areata,933,374,388,38,237,4.491961414790997,0.4008574490889603,-0.9956,20
https://www.webmd.com/skin-problems-and-treatments/guide/alopecia-areata,933,374,388,38,237,4.491961414790997,0.4008574490889603,-0.9956,20
https://www.webmd.com/skin-problems-and-treatments/guide/alopecia-areata,933,374,388,38,237,4.491961414790997,0.4008574490889603,-0.9956,20
https://www.webmd.com/skin-problems-and-treatments/guide/alopecia-areata,933,374,388,38,237,4.491961414790997,0.4008574490889603,-0.9956,20
https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency-rare,2567,785,1002,92,700,4.5368134008570316,0.3058044409816907,0.9959,87
https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency-rare,2567,785,1002,92,700,4.5368134008570316,0.3058044409816907,0.9959,87
https://www.webmd.com/migraines-headaches/altitude-headache-overview,646,269,269,20,136,4.30030959752322,0.41640866873065013,0.9244,2
https://www.webmd.com/cancer/lymphoma/anaplastic-large-cell-lymphoma,1355,487,547,53,323,4.275276752767527,0.359409594095941,-0.9923,37
https://www.webmd.com/heart-disease/heart-disease-angina,2514,755,951,98,653,4.381463802704853,0.30031821797931585,-0.9995,50
https://www.webmd.com/children/apert-syndrome-symptoms-treatments-prognosis,942,378,307,37,301,5.021231422505308,0.4012738853503185,0.9749,44
https://www.webmd.com/dvt/what-is-antiphospholipid-syndrome,786,336,307,23,237,4.404580152671755,0.42748091603053434,-0.9664,29
https://www.webmd.com/sleep-disorders/sleep-apnea/features/could-your-child-have-sleep-apnea,503,272,157,13,152,4.510934393638171,0.5407554671968191,-0.943,25
https://www.webmd.com/cancer/lymphoma/amyloidosis-symptoms-causes-treatments,1729,600,637,65,506,4.961249277038751,0.3470213996529786,-0.9984,33
https://www.webmd.com/digestive-disorders/digestive-diseases-appendicitis,798,363,303,27,193,4.790726817042606,0.4548872180451128,-0.9973,21
https://www.webmd.com/brain/apraxia-symptoms-causes-tests-treatments,2103,628,804,74,548,4.777936281502615,0.29862101759391346,0.8778,27
https://www.webmd.com/dvt/what-is-antiphospholipid-syndrome,786,336,307,23,237,4.404580152671755,0.42748091603053434,-0.9664,29
https://www.webmd.com/pain-management/guide/pain-management-arachnoiditis,406,227,138,11,121,5.37192118226601,0.5591133004926109,-0.9884,17
https://www.webmd.com/heart-disease/guide/heart-disease-prevent,1888,687,551,58,521,4.254766949152542,0.3638771186440678,-0.9982,84
https://www.webmd.com/cancer/brain-cancer/meningioma-causes-symptoms-treatment,573,253,241,25,130,4.808027923211169,0.44153577661431065,-0.9954,8
https://www.webmd.com/pain-management/guide/pain-management-arachnoiditis,406,227,138,11,121,5.37192118226601,0.5591133004926109,-0.9884,17
